EBI Biomes	environmental feature	environmental material	biome	quality	GOLD Path > delim
Oil-contaminated		http://purl.obolibrary.org/obo/ENVO_00002985	http://purl.obolibrary.org/obo/ENVO_01000048		root > Environmental > Aquatic > Marine > Oceanic > Oil-contaminated
Oil-contaminated sediments	http://purl.obolibrary.org/obo/ENVO_00002985	http://purl.obolibrary.org/obo/ENVO_00002114	http://purl.obolibrary.org/obo/ENVO_01000048		root > Environmental > Aquatic > Marine > Oceanic > Oil-contaminated sediments
Photic zone	http://purl.obolibrary.org/obo/ENVO_00000209		http://purl.obolibrary.org/obo/ENVO_01000048		root > Environmental > Aquatic > Marine > Oceanic > Photic zone
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_01000048		root > Environmental > Aquatic > Marine > Oceanic > Sediment
Oil field		http://purl.obolibrary.org/obo/ENVO_00002194	http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Oil field
bore hole	http://purl.obolibrary.org/obo/ENVO_00002226	http://purl.obolibrary.org/obo/ENVO_00003097	http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Oil field > bore hole
Oil seeps		http://purl.obolibrary.org/obo/ENVO_00002063	http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Oil seeps
Oil-contaminated sediment	http://purl.obolibrary.org/obo/ENVO_00002985	http://purl.obolibrary.org/obo/ENVO_00002114			root > Environmental > Aquatic > Marine > Oil-contaminated sediment
Pelagic			http://purl.obolibrary.org/obo/ENVO_01000023		root > Environmental > Aquatic > Marine > Pelagic
Sediment		http://purl.obolibrary.org/obo/ENVO_03000033	http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Sediment
Volcanic			http://purl.obolibrary.org/obo/ENVO_00000447		root > Environmental > Aquatic > Marine > Volcanic
Wetlands			http://purl.obolibrary.org/obo/ENVO_00000230		root > Environmental > Aquatic > Marine > Wetlands
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01001209		root > Environmental > Aquatic > Marine > Wetlands > Sediment
Meromictic lake	http://purl.obolibrary.org/obo/ENVO_00000199		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Meromictic lake
Non-marine Saline and Alkaline			http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Non-marine Saline and Alkaline
Alkaline			http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline
Carbonate		http://purl.obolibrary.org/obo/CHEBI_41609	http://purl.obolibrary.org/obo/ENVO_01000316	http://purl.obolibrary.org/obo/PATO_0001162	root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline > Carbonate
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Alkaline > Sediment
Hypersaline			http://purl.obolibrary.org/obo/ENVO_01001043		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01001043		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_01001036	http://purl.obolibrary.org/obo/ENVO_01001043		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Hypersaline > Sediment
Near-boiling (>90C)			http://purl.obolibrary.org/obo/ENVO_01000318	http://purl.obolibrary.org/obo/PATO_0001317	root > Environmental > Aquatic > Non-marine Saline and Alkaline > Near-boiling (>90C)
Alkaline			http://purl.obolibrary.org/obo/ENVO_01000316		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Near-boiling (>90C) > Alkaline
Saline			http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline
Athalassic	http://purl.obolibrary.org/obo/ENVO_00000019		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Athalassic
Epilimnion	http://purl.obolibrary.org/obo/ENVO_00002131		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Epilimnion
Hypolimnion	http://purl.obolibrary.org/obo/ENVO_00002130		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Hypolimnion
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_01001036	http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Sediment
Thalassic			http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Saline > Thalassic
Salt crystallizer pond	http://purl.obolibrary.org/obo/ENVO_00000055		http://purl.obolibrary.org/obo/ENVO_01000307		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer pond
Microbial mats	http://purl.obolibrary.org/obo/ENVO_01000008		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Non-marine Saline and Alkaline > Salt crystallizer pond > Microbial mats
Sediment		http://purl.obolibrary.org/obo/ENVO_00002007	http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Sediment
Thermal springs	http://purl.obolibrary.org/obo/ENVO_00000051		http://purl.obolibrary.org/obo/ENVO_00002030		root > Environmental > Aquatic > Thermal springs
Hot (42-90C)			http://purl.obolibrary.org/obo/ENVO_01000305	http://purl.obolibrary.org/obo/PATO_0001316	root > Environmental > Aquatic > Thermal springs > Hot (42-90C)
